No,Nama Tempat Wisata,latitude,longitude,Estimasi Durasi Kunjungan (menit),Jenis Tempat
1,Tin Tin,-1.0482132,100.4120135,20.0,guest_house
2,Carlos,-1.0473121,100.412271,20.0,guest_house
3,Hotel Sawahan,-0.9457696,100.3677602,20.0,hotel
4,KOST ANNISA,-0.9371602,100.3666538,20.0,KOST PUTRI
5,Hotel Basko,-0.9019021,100.3509817,20.0,hotel
6,Rocky Plaza Hotel,-0.9468541,100.3593749,20.0,hotel
7,hotel beugenvil,-0.9539941,100.3640289,20.0,hotel
8,hotel aliga,-0.9539723,100.3642564,20.0,hotel
9,losmen Surya,-0.9499305,100.3559875,20.0,hotel
10,Yani's backpackers,-0.9612372,100.3543139,20.0,guest_house
11,Brigitte's House,-0.9622455,100.3579831,20.0,guest_house
12,HOTEL ARYA DUTA PADANG,-0.913214,100.3491226,20.0,hotel
13,Wisma 32,-0.9289431,100.3541791,20.0,hostel
14,Grace Homestay,-0.9655947,100.3532299,20.0,hostel
15,Sekuai Island Resort,-1.1241166,100.3555121,20.0,hotel
16,Lavender Guest house,-0.9580889,100.3559383,20.0,guest_house
17,Kyriad,-0.9550108,100.3587894,20.0,hotel
18,Deivan Hotel,-0.9572646,100.3553012,20.0,hotel
19,Mongonsidi Hotel,-0.956804,100.3541307,20.0,hotel
20,amaris hotel,-0.9439763,100.3619294,20.0,hotel
21,Bintang hotel,-0.9627232,100.3585354,20.0,hotel
22,New house Padang,-0.960527,100.354588,20.0,hostel
23,Golden Homestay,-0.9612526,100.3543798,20.0,hostel
24,View towards the river,-0.9638271,100.3613778,25.0,viewpoint
25,ASRAMA UNP KU,-0.8943338,100.3498399,20.0,hotel
26,unp,-0.8941571,100.3498229,20.0,hotel
27,Hotel myAll,-0.9430827,100.3517452,20.0,hotel
28,Edotel SMKN 6,-0.9369463,100.3644923,20.0,hotel
29,TanaHotel,-0.9210048,100.36936,20.0,hotel
30,Papan Nama Padang,-0.9650291,100.3489631,30.0,attraction
31,Sumatra Eco Lodge,-1.1256201,100.3701838,20.0,chalet
32,Kos-Kosan Patriot Unand,-0.9177306,100.4651126,20.0,motel
33,Museum Bank Indonesia Padang,-0.9644438175004769,100.35825362363742,60.0,museum
34,Hotel Bunda,-0.9531992695460357,100.35937484059802,20.0,hotel
35,Masjid Raya Ganting,-0.9545251999999999,100.36945245000003,30.0,attraction
36,Hotel Bumi Minang,-0.9557205877035369,100.35864975744464,20.0,hotel
37,Hotel Mariani,-0.9552730402569682,100.35800599644271,20.0,hotel
38,Gallery Taman Budaya Padang,-0.9549448384048875,100.35503139746481,45.0,gallery
39,hotel ibis Padang,-0.9293961701170894,100.3631856616774,20.0,hotel
40,Sasha Gallery,-0.9346028442003775,100.36371607878797,45.0,gallery
41,Cristine Hakim Gallery,-0.9630596752142679,100.35729761372,45.0,gallery
42,Gedung Joang 45,-0.9579387841554721,100.3536916215543,60.0,museum
43,Kontrakan Fitri,-0.9381828000000001,100.35931075000002,20.0,guest_house
44,Wisma Bukit Asam,-0.9608500389754916,100.35500891931213,20.0,guest_house
45,Planb Hotel,-0.9599582500000001,100.35440865,20.0,hotel
46,Wisma Immanuel,-0.9591964926192459,100.35425872751644,20.0,hotel
47,Wisma Bukit Asam,-0.9608035671264328,100.35530251652477,20.0,guest_house
48,Wisma Bukit Asam,-0.9608971804542836,100.3551680015269,20.0,guest_house
49,Wisma Bukit Asam,-0.9606853999999974,100.35539795,20.0,guest_house
50,Ocean Beach Hotel,-0.9567325754560406,100.35364364886635,20.0,hotel
51,Hotel Syariah Nabawi,-0.9362501249998094,100.35431000903593,20.0,hotel
52,Hotel D'dhave,-0.9354627738220972,100.35400536907026,20.0,hotel
53,Mercure Hotel,-0.93582188919652,100.35279346275523,20.0,hotel
54,Hotel Tiga Tiga,-0.9387130499999999,100.35426065000001,20.0,hotel
55,Hotel Tiga Tiga,-0.938724900000001,100.35413514999999,20.0,hotel
56,New Castle Hotel,-0.9539094050189757,100.354847394798,20.0,hotel
57,Gallery Balanjo,-0.9497862273491157,100.35486778486731,45.0,gallery
58,Kebudyaan Sumatera Barat,-0.9481529257897022,100.35564954481575,60.0,museum
59,Ajoart creative,-0.9114368742751418,100.3533953906096,45.0,gallery
60,Axana,-0.9545425461659788,100.35925376299497,20.0,hotel
61,Grand Zuri Hotel,-0.9546883827729469,100.36431744397773,20.0,hotel
62,Art Sastra,-0.9135805467199534,100.40501183227472,45.0,gallery
63,The Aliga Hotel,-0.9555591350506131,100.36747080478553,20.0,hotel
64,Azhara Gallery,-0.9406901458264951,100.3628498246838,45.0,gallery
65,HW Hotel,-0.9588139999999999,100.35522920000001,20.0,hotel
66,HW Hotel,-0.9586430665380649,100.35538894455634,20.0,hotel
67,Wahyu Art House,-0.854864463761279,100.34056733017408,45.0,gallery
68,Patung Cinduamato,-0.9520045477856595,100.47426971571402,20.0,artwork
69,Hotel Imelda,-0.9426438119646454,100.46265937883801,20.0,hotel
70,Hotel Imelda,-0.94248955,100.4627135,20.0,hotel
71,Hotel Imelda,-0.9422170000000033,100.46253465000001,20.0,hotel
72,Situs Malin Kundang,-0.99737395,100.36529304999998,60.0,museum
73,Hotel Daima,-0.9383845665792822,100.37848674982907,20.0,hotel
74,HOTEL RUMAH RB,-0.9525820474755046,100.3909389649389,20.0,hotel
75,Hotel Mervit,-0.9394222306442187,100.35338826603396,20.0,hotel
76,HOTEL IBIS,-0.9295930828227466,100.36296820224878,20.0,hotel
77,Gallery Hias,-0.9452470065916543,100.39357687606983,45.0,gallery
78,Silungkang Art Center,-0.9533869702147616,100.36138317543224,45.0,gallery
79,Edotel Hotel Bundo Kanduang,-0.9534636800505965,100.35974657930669,20.0,hotel
80,Hotel Pangeran Beach,-0.9238755786240491,100.35026821599918,20.0,hotel
81,Galeri Taman Budaya Sumatera Barat,-0.9544681583104749,100.35490758039688,45.0,gallery
82,Ruang Fine Art,-0.9023377378343478,100.34453012883232,45.0,gallery
83,Jembatan Pelangi Art,-0.9037371972063212,100.35844381741462,45.0,gallery
84,Merry Henna art padang,-0.9233420165571259,100.36438448522807,45.0,gallery
85,Galery 88,-0.960965492741781,100.39656407145307,45.0,gallery
86,Galery Al Sanakha Light,-0.96545485,100.41556935000001,45.0,gallery
87,Monumen Kapal,-0.966763099999999,100.35701565000001,60.0,museum
88,Markas Gerunduk,-0.9535460276197055,100.35550789384955,60.0,museum
89,Museum Bagindo Aziz Chan,-0.9559307934529925,100.36416820448781,60.0,museum
90,Proyek Museum EX .Pabrik Indaruang 1,-0.9516659220123144,100.47663276121305,60.0,museum
91,Rumah Senicoretan,-0.8999028186216472,100.34466356419567,60.0,museum
92,Monumen Bank Dagang Negara,-0.90072745,100.35078430000002,60.0,museum
93,Benteng Jepang Gunung Pangilun,-0.9156097500000001,100.36422235,60.0,museum
94,"Konservasi Penyu,pasir Putih",-0.8276171999999998,100.302373,60.0,museum
95,Fernanda Painting Gallery,-0.960035982394671,100.38409746619094,45.0,gallery
96,Teras Gallery Padang,-0.9784052999999989,100.37440574999998,45.0,gallery
97,Taman Setia Studio Seni,-0.9391497164811706,100.40422809688366,45.0,gallery
98,Resti Langguai Makeup,-0.9378141219394679,100.40321420691176,45.0,gallery
99,Studio Galeri Project,-0.9453103696321106,100.40710123606692,45.0,gallery
100,CV Adsekav( Gallery Seni),-0.9351541375425456,100.39560577002062,45.0,gallery
101,Dhanis Gallery,-0.9172589000000001,100.39020095,45.0,gallery
102,Galeri Gendang Hadroh,-0.9014690307511296,100.4202566635458,45.0,gallery
103,Gallery Padussie,-0.9478304574736225,100.37218866078055,45.0,gallery
104,Gallery Distro,-0.9458554750699939,100.35798081743611,45.0,gallery
105,Gallery 2 Putri,-0.984582931979758,100.39570168329547,45.0,gallery
106,"Gallery Ar Royan,Sekolah Alam",-0.9850361552668783,100.39795251875722,45.0,gallery
107,Grand Inna Muara,-0.9568888980974605,100.35690029824117,20.0,hotel
108,Galeri Arsip Statis Dinas Perpustakaan dan Kearsipan Kota Padang,-0.94782425,100.36228265,45.0,gallery
109,Museum Rumah Kelahiran Bagindo Aziz Chan,-0.9558013499999984,100.36394845000001,60.0,museum
110,Museum Adityawarman,-0.9550141366077489,100.3558666754517,60.0,museum
